# eto sig
6.610578904170712894e-04 1.434136653362829463e+02
6.682216237504046098e-04 1.458124132218892726e+02
6.803958570837379460e-04 1.480951841050910787e+02
6.857453904170713677e-04 1.504120151488503438e+02
6.956621237504046667e-04 1.526711451189226239e+02
7.077096904170713295e-04 1.548072668909984770e+02
7.198168904170713141e-04 1.569460617389661934e+02
7.216385570837380043e-04 1.590052786864922041e+02
7.383911904170712423e-04 1.611658317973645183e+02
7.460243237504046027e-04 1.635609221678392942e+02
7.589063570837379594e-04 1.660756111274107241e+02
7.732561904170712685e-04 1.688849348471800056e+02
7.798722904170712813e-04 1.717460673765735919e+02
7.934733237504045748e-04 1.744316319939628386e+02
8.044107904170712904e-04 1.770209299508060781e+02
8.159219237504046702e-04 1.793294507465305685e+02
8.225082570837379849e-04 1.815942538171851481e+02
8.324882904170712939e-04 1.838176457685796379e+02
8.482835237504046146e-04 1.860426329426837810e+02
8.561178237504046828e-04 1.882755674875847092e+02
8.692829904170713568e-04 1.903352658761988039e+02
8.722296904170712519e-04 1.924709565070017447e+02
8.872016237504046308e-04 1.946092555425056787e+02
8.963621237504047204e-04 1.967503641819711788e+02
9.006760237504046317e-04 1.988048709110909442e+02
9.127422237504046213e-04 2.009610191952920388e+02
9.163967237504046454e-04 2.031616109590391375e+02
9.379922570837379925e-04 2.055970453741235815e+02
9.487508904170712876e-04 2.081902846807696790e+02
9.580566570837379965e-04 2.107819970287410172e+02
9.688264570837379352e-04 2.133574876863202689e+02
9.826398570837379613e-04 2.158930798119384917e+02
9.899004237504044953e-04 2.184149616450791314e+02
9.998730237504047189e-04 2.207615162867595018e+02
1.012762557083738031e-03 2.231071799031425371e+02
1.030509823750404676e-03 2.256148125172145171e+02
1.042184890417071274e-03 2.283002729421295385e+02
1.051259690417071088e-03 2.309126118071641827e+02
1.063113557083737943e-03 2.332889942392399121e+02
1.072564623750404435e-03 2.355075897439736252e+02
1.082272723750404668e-03 2.377539579323686496e+02
1.093090990417071176e-03 2.399624791026927824e+02
1.106021457083737830e-03 2.420209595172109402e+02
1.111221957083737910e-03 2.440567906435272221e+02
1.121924723750404498e-03 2.463698348297730547e+02
1.126879357083737914e-03 2.488583642926125492e+02
1.146109323750404497e-03 2.516634412708439470e+02
1.159859357083737859e-03 2.543924146287242820e+02
1.171996357083738031e-03 2.573156530584761299e+02
1.193509890417071171e-03 2.601857281764380332e+02
1.195748790417071154e-03 2.628528399473480590e+02
1.215816957083737772e-03 2.654347366456735244e+02
1.216953157083737946e-03 2.678336821376965986e+02
1.231340223750404528e-03 2.700872252354411103e+02
1.243473490417071033e-03 2.723388533473652728e+02
1.251419557083737789e-03 2.744265759187164804e+02
1.259466157083737829e-03 2.766068321857594015e+02
1.271007123750404451e-03 2.788108479297819713e+02
1.283751323750404599e-03 2.810838893915924359e+02
1.289827290417071368e-03 2.834922912488673319e+02
1.304817857083737749e-03 2.861627802930815960e+02
1.315617457083737875e-03 2.889604883483906974e+02
1.328618723750404386e-03 2.917237122875573618e+02
1.336698890417071118e-03 2.941804055602386825e+02
1.349472923750404509e-03 2.966332329328398032e+02
1.357415223750404543e-03 2.990028284827116067e+02
1.369228123750404567e-03 3.013399806517992374e+02
1.382117623750404607e-03 3.036381001643155741e+02
1.389925823750404448e-03 3.057218706073319936e+02
1.404014890417071325e-03 3.078438401671256770e+02
1.411677790417071275e-03 3.100928275387533972e+02
1.414136490417071184e-03 3.123101224339806663e+02
1.429927990417071164e-03 3.147475975844233744e+02
1.437892657083737757e-03 3.172375282563996279e+02
1.455446223750404703e-03 3.195173889360095814e+02
1.463351290417071139e-03 3.219052828400712087e+02
1.481843657083737947e-03 3.241149034206410988e+02
1.481504657083737705e-03 3.262455425128635511e+02
1.498603723750404487e-03 3.283821097975880434e+02
1.503681290417071235e-03 3.305590750195813143e+02
1.513683690417071213e-03 3.327643087376997073e+02
1.528253323750404557e-03 3.354338205283621619e+02
1.537641057083737658e-03 3.382069463454292304e+02
1.554997157083737747e-03 3.408518543407860193e+02
1.565305057083737818e-03 3.435551137145830012e+02
1.571909990417071079e-03 3.462140373941522853e+02
1.592935523750404559e-03 3.488176923553824054e+02
1.602606390417071194e-03 3.512310451516074750e+02
1.612340557083737731e-03 3.534992542383178602e+02
1.622611190417071149e-03 3.556698816835997832e+02
1.628556757083737903e-03 3.576850180288178080e+02
1.638704457083737772e-03 3.596634391018063184e+02
1.652070790417071045e-03 3.620010152264788985e+02
1.656582123750404648e-03 3.644833829619602170e+02
1.677395323750404451e-03 3.669037382110257113e+02
1.692572157083737771e-03 3.691934576544086895e+02
1.701415990417071231e-03 3.716212500904313174e+02
1.713564157083737830e-03 3.738981790093855579e+02
1.720474557083737695e-03 3.761961260653927752e+02
1.729206657083737957e-03 3.786801105806472947e+02
1.741686357083737681e-03 3.812676408582717613e+02
1.756334223750404509e-03 3.838485243746059155e+02
1.766537790417071086e-03 3.863478144050476999e+02
1.779069657083737991e-03 3.887423730346192201e+02
1.786207323750404466e-03 3.911428957851322252e+02
1.798035123750404583e-03 3.934609986956464809e+02
1.808152990417071209e-03 3.958028503046085120e+02
1.817924423750404616e-03 3.982493973860013625e+02
1.831104523750404440e-03 4.005224819619391496e+02
1.841617290417071288e-03 4.035069496381277077e+02
1.855475357083737672e-03 4.063835601392177637e+02
1.870581423750404624e-03 4.090428035818977150e+02
1.882144723750404534e-03 4.114149428652794995e+02
